,episode,reward,steps,epsilon
196,196,-213,8,0.3743896431025813
197,197,-12,3,0.37251769488706843
198,198,-42,4,0.3706551064126331
199,199,6,4,0.36880183088056995
200,200,8,3,0.3669578217261671
201,201,-11,2,0.36512303261753626
202,202,-119,12,0.3632974174544486
203,203,-17,7,0.3614809303671764
204,204,-44,6,0.3596735257153405
205,205,5,6,0.3578751580867638
206,206,-63,5,0.35608578229633
207,207,8,3,0.3543053533848483
208,208,8,3,0.35253382661792404
209,209,5,6,0.3507711574848344
210,210,6,5,0.34901730169741024
211,211,-46,7,0.3472722151889232
212,212,5,5,0.3455358541129786
213,213,8,3,0.3438081748424137
214,214,-114,7,0.3420891339682016
215,215,7,4,0.3403786882983606
216,216,-66,7,0.3386767948568688
217,217,3,6,0.33698341088258443
218,218,6,5,0.3352984938281715
219,219,8,3,0.33362200135903064
220,220,-48,9,0.33195389135223546
221,221,6,5,0.3302941218954743
222,222,8,3,0.32864265128599696
223,223,-11,2,0.326999438029567
224,224,8,3,0.3253644408394192
225,225,7,4,0.3237376186352221
226,226,4,6,0.322118930542046
227,227,-14,5,0.32050833588933575
228,228,7,4,0.31890579420988907
229,229,-94,7,0.3173112652388396
230,230,-67,9,0.3157247089126454
231,231,-45,7,0.3141460853680822
232,232,-71,13,0.3125753549412418
233,233,-14,5,0.31101247816653554
234,234,-92,5,0.30945741577570285
235,235,-15,5,0.3079101286968243
236,236,-46,8,0.3063705780533402
237,237,5,6,0.30483872516307353
238,238,-45,6,0.3033145315372582
239,239,-46,6,0.3017979588795719
240,240,-68,9,0.30028896908517405
241,241,-43,5,0.2987875242397482
242,242,-43,5,0.29729358661854943
243,243,8,3,0.29580711868545667
244,244,4,6,0.2943280830920294
245,245,-113,6,0.29285644267656924
246,246,-17,8,0.2913921604631864
247,247,3,7,0.28993519966087045
248,248,7,4,0.2884855236625661
249,249,-148,12,0.28704309604425327
250,250,-48,8,0.285607880564032
251,251,8,3,0.28417984116121187
252,252,-64,6,0.2827589419554058
253,253,7,4,0.28134514724562876
254,254,8,3,0.2799384215094006
255,255,8,3,0.27853872940185365
256,256,-51,11,0.27714603575484437
257,257,-96,8,0.2757603055760701
258,258,8,3,0.2743815040481898
259,259,7,4,0.2730095965279488
260,260,8,3,0.27164454854530906
261,261,-13,4,0.2702863258025825
262,262,-43,5,0.2689348941735696
263,263,7,4,0.26759021970270175
264,264,8,3,0.2662522686041882
265,265,6,4,0.2649210072611673
266,266,7,4,0.26359640222486147
267,267,-13,4,0.26227842021373715
268,268,-46,7,0.2609670281126685
269,269,8,3,0.25966219297210513
270,270,7,4,0.2583638820072446
271,271,7,4,0.2570720625972084
272,272,7,4,0.25578670228422234
273,273,7,4,0.25450776877280124
274,274,6,5,0.2532352299289372
275,275,7,4,0.2519690537792925
276,276,7,4,0.2507092085103961
277,277,-15,6,0.2494556624678441
278,278,7,4,0.24820838415550486
279,279,-66,8,0.24696734223472733
280,280,7,4,0.2457325055235537
281,281,6,5,0.24450384299593592
282,282,6,5,0.24328132378095624
283,283,8,3,0.24206491716205145
284,284,-44,6,0.2408545925762412
285,285,-113,6,0.23965031961336
286,286,-62,4,0.2384520680152932
287,287,7,4,0.23725980767521673
288,288,7,4,0.23607350863684065
289,289,-13,4,0.23489314109365644
290,290,6,5,0.23371867538818816
291,291,-65,7,0.23255008201124722
292,292,6,5,0.231387331601191
293,293,-14,5,0.23023039494318503
294,294,-13,4,0.2290792429684691
295,295,6,4,0.22793384675362674
296,296,-14,4,0.22679417751985861
297,297,3,8,0.22566020663225933
298,298,-43,5,0.22453190559909803
299,299,7,4,0.22340924607110255
300,300,7,4,0.22229219984074702
301,301,7,4,0.2211807388415433
302,302,6,5,0.22007483514733558
303,303,-43,5,0.2189744609715989
304,304,6,5,0.2178795886667409
305,305,-15,6,0.2167901907234072
306,306,5,6,0.21570623976979014
307,307,-62,4,0.21462770857094118
308,308,7,4,0.21355457002808648
309,309,2,8,0.21248679717794605
310,310,8,3,0.21142436319205632
311,311,6,5,0.21036724137609603
312,312,3,7,0.20931540516921554
313,313,-11,2,0.20826882814336947
314,314,6,5,0.20722748400265262
315,315,-14,5,0.20619134658263935
316,316,-12,3,0.20516038984972615
317,317,4,6,0.2041345879004775
318,318,-45,7,0.2031139149609751
319,319,7,4,0.20209834538617025
320,320,7,4,0.2010878536592394
321,321,6,5,0.2000824143909432
322,322,5,6,0.19908200231898848
323,323,8,3,0.19808659230739353
324,324,-12,3,0.19709615934585656
325,325,-12,3,0.19611067854912728
326,326,-93,6,0.19513012515638165
327,327,-11,2,0.19415447453059972
328,328,-11,2,0.19318370215794672
329,329,7,4,0.192217783647157
330,330,6,5,0.1912566947289212
331,331,-44,6,0.1903004112552766
332,332,-13,4,0.18934890919900021
333,333,5,6,0.18840216465300522
334,334,8,3,0.18746015382974018
335,335,-12,3,0.1865228530605915
336,336,6,5,0.18559023879528855
337,337,4,7,0.1846622876013121
338,338,-14,4,0.18373897616330553
339,339,8,3,0.182820281282489
340,340,-47,9,0.18190617987607657
341,341,-12,3,0.18099664897669618
342,342,6,5,0.1800916657318127
343,343,8,3,0.17919120740315364
344,344,8,3,0.17829525136613786
345,345,-13,3,0.17740377510930716
346,346,8,3,0.17651675623376062
347,347,5,5,0.1756341724525918
348,348,8,3,0.17475600159032884
349,349,8,3,0.17388222158237718
350,350,6,5,0.1730128104744653
351,351,-46,7,0.17214774642209296
352,352,6,4,0.1712870076899825
353,353,7,4,0.17043057265153258
354,354,7,4,0.16957841978827493
355,355,6,5,0.16873052768933355
356,356,7,4,0.1678868750508869
357,357,7,4,0.16704744067563246
358,358,-45,6,0.1662122034722543
359,359,-51,13,0.16538114245489302
360,360,5,6,0.16455423674261854
361,361,5,5,0.16373146555890544
362,362,-46,8,0.16291280823111093
363,363,6,5,0.16209824418995536
364,364,-42,4,0.16128775296900558
365,365,8,3,0.16048131420416054
366,366,-44,6,0.15967890763313974
367,367,6,5,0.15888051309497406
368,368,7,4,0.1580861105294992
369,369,5,6,0.1572956799768517
370,370,8,3,0.15650920157696743
371,371,-13,4,0.1557266555690826
372,372,-13,3,0.1549480222912372
373,373,-43,5,0.15417328217978102
374,374,-26,17,0.1534024157688821
375,375,8,3,0.1526354036900377
376,376,-13,4,0.1518722266715875
377,377,8,3,0.15111286553822956
378,378,5,6,0.15035730121053842
379,379,-13,4,0.14960551470448571
380,380,7,4,0.14885748713096328
381,381,8,3,0.14811319969530845
382,382,8,3,0.1473726336968319
383,383,7,4,0.14663577052834775
384,384,-15,6,0.14590259167570602
385,385,5,6,0.1451730787173275
386,386,-42,4,0.14444721332374086
387,387,6,5,0.14372497725712216
388,388,-12,3,0.14300635237083656
389,389,8,3,0.14229132060898236
390,390,7,4,0.14157986400593744
391,391,8,3,0.14087196468590776
392,392,-45,7,0.14016760486247823
393,393,-42,4,0.13946676683816583
394,394,8,3,0.138769433003975
395,395,-95,7,0.13807558583895513
396,396,8,3,0.13738520790976036
397,397,-145,9,0.13669828187021155
398,398,-166,10,0.13601479046086049
399,399,7,4,0.1353347165085562
400,400,-12,3,0.1346580429260134
401,401,-45,7,0.13398475271138335
402,402,8,3,0.13331482894782642
403,403,8,3,0.13264825480308728
404,404,-13,4,0.13198501352907185
405,405,7,4,0.1313250884614265
406,406,-42,4,0.13066846301911936
407,407,7,4,0.13001512070402377
408,408,-14,5,0.12936504510050365
409,409,7,4,0.12871821987500112
410,410,7,4,0.12807462877562611
411,411,6,5,0.12743425563174798
412,412,-12,3,0.12679708435358925
413,413,8,3,0.1261630989318213
414,414,-11,2,0.1255322834371622
415,415,8,3,0.12490462201997637
416,416,4,7,0.1242800989098765
417,417,-15,6,0.12365869841532712
418,418,-42,4,0.12304040492325048
419,419,-14,5,0.12242520289863423
420,420,-14,5,0.12181307688414106
421,421,6,4,0.12120401149972035
422,422,6,5,0.12059799144222175
423,423,-12,3,0.11999500148501063
424,424,-14,5,0.11939502647758558
425,425,6,4,0.11879805134519765
426,426,-13,4,0.11820406108847166
427,427,8,3,0.1176130407830293
428,428,-13,4,0.11702497557911415
429,429,8,3,0.11643985070121858
430,430,7,4,0.11585765144771248
431,431,7,4,0.11527836319047392
432,432,-11,2,0.11470197137452155
433,433,6,5,0.11412846151764894
434,434,-42,4,0.1135578192100607
435,435,8,3,0.11299003011401039
436,436,3,7,0.11242507996344034
437,437,4,7,0.11186295456362313
438,438,4,7,0.11130363979080501
439,439,8,3,0.11074712159185099
440,440,6,4,0.11019338598389174
441,441,7,4,0.10964241905397228
442,442,6,5,0.10909420695870241
443,443,8,3,0.1085487359239089
444,444,7,4,0.10800599224428936
445,445,-14,4,0.10746596228306791
446,446,8,3,0.10692863247165257
447,447,-12,3,0.1063939893092943
448,448,7,4,0.10586201936274783
449,449,8,3,0.10533270926593409
450,450,8,3,0.10480604571960442
451,451,8,3,0.1042820154910064
452,452,-43,5,0.10376060541355137
453,453,6,5,0.1032418023864836
454,454,8,3,0.10272559337455119
455,455,-12,3,0.10221196540767843
456,456,8,3,0.10170090558064004
457,457,1,10,0.10119240105273684
458,458,8,3,0.10068643904747315
459,459,5,6,0.10018300685223579
460,460,7,4,0.0996820918179746
461,461,-42,4,0.09918368135888474
462,462,6,5,0.09868776295209031
463,463,7,4,0.09819432413732986
464,464,-44,6,0.09770335251664321
465,465,8,3,0.09721483575406
466,466,2,9,0.09672876157528969
467,467,-14,4,0.09624511776741324
468,468,8,3,0.09576389217857617
469,469,7,4,0.09528507271768329
470,470,7,4,0.09480864735409487
471,471,7,4,0.0943346041173244
472,472,8,3,0.09386293109673778
473,473,8,3,0.09339361644125409
474,474,8,3,0.09292664835904782
475,475,7,4,0.09246201511725258
476,476,-44,6,0.09199970504166631
477,477,8,3,0.09153970651645797
478,478,7,4,0.09108200798387568
479,479,1,10,0.0906265979439563
480,480,7,4,0.09017346495423652
481,481,-42,4,0.08972259762946533
482,482,6,5,0.089273984641318
483,483,6,5,0.0888276147181114
484,484,8,3,0.08838347664452084
485,485,5,6,0.08794155926129824
486,486,6,5,0.08750185146499175
487,487,-14,5,0.08706434220766679
488,488,7,4,0.08662902049662846
489,489,6,5,0.08619587539414532
490,490,8,3,0.08576489601717459
491,491,8,3,0.08533607153708872
492,492,4,7,0.08490939117940327
493,493,6,5,0.08448484422350626
494,494,8,3,0.08406242000238873
495,495,8,3,0.08364210790237678
496,496,-62,4,0.0832238973628649
497,497,5,6,0.08280777787605056
498,498,7,4,0.08239373898667031
499,499,4,7,0.08198177029173696
500,500,7,4,0.08157186144027828
501,501,-11,2,0.0811640021330769
502,502,8,3,0.08075818212241151
503,503,4,7,0.08035439121179945
504,504,7,4,0.07995261925574046
505,505,-45,7,0.07955285615946175
506,506,8,3,0.07915509187866444
507,507,-12,3,0.07875931641927113
508,508,6,5,0.07836551983717477
509,509,4,7,0.07797369223798889
510,510,7,4,0.07758382377679894
511,511,7,4,0.07719590465791494
512,512,-12,3,0.07680992513462537
513,513,8,3,0.07642587550895225
514,514,8,3,0.07604374613140748
515,515,-12,3,0.07566352740075044
516,516,7,4,0.07528520976374668
517,517,7,4,0.07490878371492794
518,518,-65,6,0.0745342397963533
519,519,8,3,0.07416156859737154
520,520,7,4,0.07379076075438468
521,521,8,3,0.07342180695061275
522,522,-17,8,0.07305469791585968
523,523,6,5,0.07268942442628039
524,524,7,4,0.07232597730414898
525,525,2,9,0.07196434741762824
526,526,6,5,0.0716045256805401
527,527,8,3,0.0712465030521374
528,528,6,5,0.0708902705368767
529,529,7,4,0.07053581918419231
530,530,8,3,0.07018314008827135
531,531,8,3,0.06983222438783
532,532,4,7,0.06948306326589085
533,533,6,4,0.0691356479495614
534,534,-14,5,0.06878996970981359
535,535,8,3,0.06844601986126451
536,536,8,3,0.06810378976195819
537,537,7,4,0.0677632708131484
538,538,4,7,0.06742445445908266
539,539,7,4,0.06708733218678724
540,540,8,3,0.0667518955258533
541,541,-13,4,0.06641813604822402
542,542,8,3,0.0660860453679829
543,543,5,6,0.06575561514114299
544,544,7,4,0.06542683706543727
545,545,-15,6,0.06509970288011008
546,546,5,6,0.06477420436570952
547,547,6,5,0.06445033334388098
548,548,-14,5,0.06412808167716157
549,549,-11,2,0.06380744126877576
550,550,6,5,0.06348840406243188
551,551,6,5,0.06317096204211972
552,552,-44,6,0.06285510723190912
553,553,4,7,0.06254083169574957
554,554,-12,3,0.062228127537270826
555,555,8,3,0.06191698689958447
556,556,7,4,0.061607401965086545
557,557,8,3,0.06129936495526111
558,558,8,3,0.0609928681304848
559,559,-12,3,0.060687903789832374
560,560,-16,7,0.06038446427088321
561,561,6,5,0.06008254194952879
562,562,5,6,0.05978212923978115
563,563,8,3,0.05948321859358224
564,564,6,5,0.05918580250061433
565,565,-13,4,0.058889873488111255
566,566,-11,2,0.058595424120670696
567,567,-11,2,0.05830244700006734
568,568,8,3,0.058010934765067
569,569,8,3,0.05772088009124167
570,570,6,5,0.05743227569078546
571,571,-46,8,0.05714511431233153
572,572,8,3,0.05685938874076987
573,573,7,4,0.056575091797066025
574,574,6,5,0.056292216338080694
575,575,7,4,0.05601075525639029
576,576,5,6,0.05573070148010834
577,577,-14,5,0.0554520479727078
578,578,6,5,0.05517478773284426
579,579,8,3,0.05489891379418004
580,580,-64,6,0.05462441922520914
581,581,8,3,0.0543512971290831
582,582,8,3,0.05407954064343768
583,583,-43,5,0.05380914294022049
584,584,7,4,0.05354009722551939
585,585,7,4,0.05327239673939179
586,586,5,6,0.053006034755694834
587,587,-43,5,0.052741004581916356
588,588,5,6,0.052477299559006776
589,589,7,4,0.052214913061211746
590,590,8,3,0.05195383849590569
591,591,8,3,0.05169406930342616
592,592,6,5,0.05143559895690903
593,593,6,5,0.051178420962124486
594,594,8,3,0.05092252885731386
595,595,7,4,0.05066791621302729
596,596,8,3,0.05041457663196215
597,597,8,3,0.050162503748802344
598,598,8,3,0.049911691230058335
599,599,7,4,0.049911691230058335
600,600,-17,8,0.049911691230058335
601,601,7,4,0.049911691230058335
602,602,7,4,0.049911691230058335
603,603,8,3,0.049911691230058335
604,604,5,6,0.049911691230058335
605,605,5,6,0.049911691230058335
606,606,5,6,0.049911691230058335
607,607,6,5,0.049911691230058335
608,608,8,3,0.049911691230058335
609,609,-13,4,0.049911691230058335
610,610,4,7,0.049911691230058335
611,611,5,6,0.049911691230058335
612,612,8,3,0.049911691230058335
613,613,6,5,0.049911691230058335
614,614,5,6,0.049911691230058335
615,615,8,3,0.049911691230058335
616,616,4,7,0.049911691230058335
617,617,5,6,0.049911691230058335
618,618,6,5,0.049911691230058335
619,619,-14,5,0.049911691230058335
620,620,1,9,0.049911691230058335
621,621,8,3,0.049911691230058335
622,622,8,3,0.049911691230058335
623,623,8,3,0.049911691230058335
624,624,8,3,0.049911691230058335
625,625,-65,7,0.049911691230058335
626,626,2,8,0.049911691230058335
627,627,-12,3,0.049911691230058335
628,628,8,3,0.049911691230058335
629,629,6,5,0.049911691230058335
630,630,8,3,0.049911691230058335
631,631,7,4,0.049911691230058335
632,632,8,3,0.049911691230058335
633,633,8,3,0.049911691230058335
634,634,7,4,0.049911691230058335
635,635,4,7,0.049911691230058335
636,636,8,3,0.049911691230058335
637,637,-65,7,0.049911691230058335
638,638,8,3,0.049911691230058335
639,639,6,5,0.049911691230058335
640,640,3,8,0.049911691230058335
641,641,8,3,0.049911691230058335
642,642,7,4,0.049911691230058335
643,643,8,3,0.049911691230058335
644,644,8,3,0.049911691230058335
645,645,8,3,0.049911691230058335
646,646,6,5,0.049911691230058335
647,647,8,3,0.049911691230058335
648,648,8,3,0.049911691230058335
649,649,-93,6,0.049911691230058335
650,650,-12,3,0.049911691230058335
651,651,7,4,0.049911691230058335
652,652,8,3,0.049911691230058335
653,653,7,4,0.049911691230058335
654,654,6,5,0.049911691230058335
655,655,8,3,0.049911691230058335
656,656,7,4,0.049911691230058335
657,657,2,9,0.049911691230058335
658,658,5,6,0.049911691230058335
659,659,7,4,0.049911691230058335
660,660,8,3,0.049911691230058335
661,661,4,7,0.049911691230058335
662,662,8,3,0.049911691230058335
663,663,5,6,0.049911691230058335
664,664,4,6,0.049911691230058335
665,665,-42,4,0.049911691230058335
666,666,-14,5,0.049911691230058335
667,667,7,4,0.049911691230058335
668,668,8,3,0.049911691230058335
669,669,8,3,0.049911691230058335
670,670,7,4,0.049911691230058335
671,671,-14,5,0.049911691230058335
672,672,7,4,0.049911691230058335
673,673,4,7,0.049911691230058335
674,674,-12,3,0.049911691230058335
675,675,8,3,0.049911691230058335
676,676,8,3,0.049911691230058335
677,677,8,3,0.049911691230058335
678,678,6,5,0.049911691230058335
679,679,-16,6,0.049911691230058335
680,680,6,5,0.049911691230058335
681,681,8,3,0.049911691230058335
682,682,8,3,0.049911691230058335
683,683,7,4,0.049911691230058335
684,684,5,6,0.049911691230058335
685,685,7,4,0.049911691230058335
686,686,8,3,0.049911691230058335
687,687,6,4,0.049911691230058335
688,688,-43,5,0.049911691230058335
689,689,7,4,0.049911691230058335
690,690,5,6,0.049911691230058335
691,691,6,5,0.049911691230058335
692,692,7,4,0.049911691230058335
693,693,-42,4,0.049911691230058335
694,694,5,6,0.049911691230058335
695,695,8,3,0.049911691230058335
696,696,6,5,0.049911691230058335
697,697,6,5,0.049911691230058335
698,698,7,4,0.049911691230058335
699,699,8,3,0.049911691230058335
700,700,5,6,0.049911691230058335
701,701,8,3,0.049911691230058335
702,702,7,4,0.049911691230058335
703,703,8,3,0.049911691230058335
704,704,8,3,0.049911691230058335
705,705,4,7,0.049911691230058335
706,706,8,3,0.049911691230058335
707,707,8,3,0.049911691230058335
708,708,6,5,0.049911691230058335
709,709,7,4,0.049911691230058335
710,710,7,4,0.049911691230058335
711,711,3,8,0.049911691230058335
712,712,5,6,0.049911691230058335
713,713,8,3,0.049911691230058335
714,714,-12,3,0.049911691230058335
715,715,-43,5,0.049911691230058335
716,716,8,3,0.049911691230058335
717,717,6,5,0.049911691230058335
718,718,8,3,0.049911691230058335
719,719,-47,9,0.049911691230058335
720,720,-15,6,0.049911691230058335
721,721,8,3,0.049911691230058335
722,722,3,8,0.049911691230058335
723,723,7,4,0.049911691230058335
724,724,8,3,0.049911691230058335
725,725,-15,6,0.049911691230058335
726,726,8,3,0.049911691230058335
727,727,-12,3,0.049911691230058335
728,728,7,4,0.049911691230058335
729,729,4,7,0.049911691230058335
730,730,7,4,0.049911691230058335
731,731,6,5,0.049911691230058335
732,732,-14,4,0.049911691230058335
733,733,4,7,0.049911691230058335
734,734,8,3,0.049911691230058335
735,735,-12,3,0.049911691230058335
736,736,8,3,0.049911691230058335
737,737,4,7,0.049911691230058335
738,738,8,3,0.049911691230058335
739,739,6,5,0.049911691230058335
740,740,7,4,0.049911691230058335
741,741,7,4,0.049911691230058335
742,742,8,3,0.049911691230058335
743,743,5,6,0.049911691230058335
744,744,7,4,0.049911691230058335
745,745,6,5,0.049911691230058335
746,746,8,3,0.049911691230058335
747,747,5,6,0.049911691230058335
748,748,7,4,0.049911691230058335
749,749,8,3,0.049911691230058335
750,750,-46,8,0.049911691230058335
751,751,6,5,0.049911691230058335
752,752,5,6,0.049911691230058335
753,753,7,4,0.049911691230058335
754,754,7,4,0.049911691230058335
755,755,7,4,0.049911691230058335
756,756,7,4,0.049911691230058335
757,757,6,5,0.049911691230058335
758,758,-43,5,0.049911691230058335
759,759,8,3,0.049911691230058335
760,760,6,5,0.049911691230058335
761,761,-42,4,0.049911691230058335
762,762,7,4,0.049911691230058335
763,763,-47,9,0.049911691230058335
764,764,3,8,0.049911691230058335
765,765,8,3,0.049911691230058335
766,766,5,6,0.049911691230058335
767,767,-12,3,0.049911691230058335
768,768,-44,6,0.049911691230058335
769,769,3,8,0.049911691230058335
770,770,8,3,0.049911691230058335
771,771,8,3,0.049911691230058335
772,772,7,4,0.049911691230058335
773,773,-45,7,0.049911691230058335
774,774,7,4,0.049911691230058335
775,775,6,5,0.049911691230058335
776,776,0,11,0.049911691230058335
777,777,8,3,0.049911691230058335
778,778,-12,3,0.049911691230058335
779,779,8,3,0.049911691230058335
780,780,6,5,0.049911691230058335
781,781,8,3,0.049911691230058335
782,782,5,6,0.049911691230058335
783,783,6,4,0.049911691230058335
784,784,7,4,0.049911691230058335
785,785,8,3,0.049911691230058335
786,786,7,4,0.049911691230058335
787,787,3,8,0.049911691230058335
788,788,8,3,0.049911691230058335
789,789,1,10,0.049911691230058335
790,790,8,3,0.049911691230058335
791,791,8,3,0.049911691230058335
792,792,8,3,0.049911691230058335
793,793,8,3,0.049911691230058335
794,794,-12,3,0.049911691230058335
795,795,7,4,0.049911691230058335
796,796,-12,3,0.049911691230058335
797,797,8,3,0.049911691230058335
798,798,-12,3,0.049911691230058335
799,799,8,3,0.049911691230058335
800,800,7,4,0.049911691230058335
801,801,7,4,0.049911691230058335
802,802,8,3,0.049911691230058335
803,803,7,4,0.049911691230058335
804,804,8,3,0.049911691230058335
